600 4599
94 31 18
528 13 15
228 236 2
8 191 11
130 577 15
239 61 4
316 83 78
388 136 10
493 168 8
139 560 9
543 56 47
74 525 44
161 79 1
17 559 39
14 558 59
548 274 37
569 176 64
119 154 15
35 197 22
397 502 61
100 116 97
260 117 20
180 204 87
187 537 30
477 167 73
546 109 84
269 535 40
21 122 7
24 442 27
283 573 6
353 162 23
121 61 39
153 433 50
267 159 17
164 137 31
7 149 12
360 152 57
338 440 76
452 342 67
68 197 68
40 583 85
354 325 25
66 425 21
62 271 19
216 513 3
563 289 14
95 426 22
186 421 19
538 65 9
574 357 23
481 334 1
220 290 81
149 199 40
548 73 65
244 459 96
199 595 62
160 258 81
50 355 27
372 411 75
369 169 55
595 37 71
351 506 52
524 79 60
551 296 13
589 89 18
412 495 10
243 453 41
518 218 2
327 15 60
208 509 94
384 429 94
98 270 9
577 57 35
361 211 28
492 160 72
568 345 62
165 490 14
414 319 50
536 587 95
420 177 21
131 172 52
397 551 69
454 386 5
42 418 31
517 163 46
72 312 83
230 472 82
343 352 78
2 262 8
263 434 25
231 552 80
102 146 91
579 455 26
287 221 47
456 345 33
140 561 45
478 590 58
516 173 52
579 279 8
331 313 26
541 380 64
195 289 65
321 396 46
69 508 49
118 51 65
293 97 60
359 80 37
396 54 14
93 423 78
244 10 58
511 479 80
72 90 47
342 504 21
338 406 50
409 525 30
157 367 48
188 406 85
299 80 33
307 310 8
583 331 60
128 345 32
308 197 60
53 154 53
180 347 68
90 189 62
94 258 61
162 577 7
306 375 59
431 212 20
216 241 44
593 209 84
53 254 84
110 475 26
462 578 41
270 223 71
502 318 53
80 535 27
165 148 91
94 55 23
509 216 58
259 369 21
329 412 56
238 123 86
298 46 43
44 547 61
240 420 50
384 192 62
578 35 1
486 105 89
168 393 5
130 84 32
591 126 100
524 155 2
303 59 88
256 571 4
480 357 55
320 459 76
474 1 29
512 272 85
72 156 42
449 476 35
48 301 62
188 372 87
196 595 78
102 467 55
469 582 21
496 582 67
51 486 14
54 303 93
268 86 17
403 154 29
344 69 84
173 386 84
474 549 9
161 344 77
219 59 47
39 581 60
460 441 36
504 312 47
452 1 100
204 176 50
94 276 2
50 80 13
529 575 60
354 552 42
152 350 35
242 522 53
42 219 42
170 358 48
156 112 80
467 133 73
310 302 90
427 148 38
85 214 23
454 398 51
525 482 38
536 18 5
430 537 4
397 137 29
85 132 54
434 203 13
269 167 80
535 49 67
119 534 99
204 9 51
122 38 99
368 400 4
340 198 33
184 80 41
513 305 66
414 480 87
124 294 97
512 115 20
455 151 83
185 189 7
87 154 24
263 314 38
338 268 8
430 341 89
428 28 19
452 131 29
81 576 92
381 149 20
212 410 13
568 1 70
394 589 34
531 402 93
187 375 66
84 30 66
256 82 21
486 365 17
267 598 23
254 481 25
330 26 40
452 38 10
403 242 30
59 332 41
188 492 56
481 516 34
214 139 31
352 416 25
577 184 47
122 388 67
527 28 28
33 538 69
439 279 39
489 249 61
266 104 79
246 152 13
460 487 68
352 319 49
122 313 98
350 543 65
330 431 84
136 70 42
375 404 55
285 18 71
471 232 41
63 64 49
344 97 54
168 400 96
517 463 53
34 538 30
466 433 50
277 89 70
593 132 21
381 347 61
448 284 63
452 125 55
374 476 54
128 287 31
321 355 49
417 445 100
483 305 72
179 594 57
492 43 71
205 599 5
381 596 50
425 6 66
348 383 15
7 83 12
84 268 93
162 388 36
329 71 51
548 386 53
538 121 40
494 84 67
259 404 92
188 209 57
274 570 45
389 369 60
372 154 41
478 413 52
201 238 52
560 123 55
387 500 31
545 87 78
184 198 31
506 154 67
275 238 56
567 110 99
69 451 44
281 61 39
119 229 93
391 224 61
6 431 64
180 575 93
450 296 87
81 266 13
366 478 44
200 67 48
54 512 68
129 391 93
163 172 12
346 268 10
525 53 99
391 236 10
61 510 38
241 164 14
183 292 88
169 79 25
461 273 62
210 450 19
75 137 18
218 120 17
450 521 92
451 0 12
284 74 12
159 233 57
511 360 53
487 152 5
537 417 42
597 158 37
522 139 41
320 54 54
77 62 90
377 366 69
183 353 87
367 249 62
142 522 38
136 19 57
496 508 41
446 346 17
221 77 46
266 282 77
583 384 14
498 155 56
553 487 46
266 127 87
52 302 18
518 11 30
48 188 29
358 447 45
348 303 47
348 174 32
310 428 40
494 371 30
110 92 30
524 15 9
378 441 55
290 243 45
443 35 45
362 0 82
514 90 12
265 191 41
305 405 64
196 192 94
538 432 96
191 104 88
143 551 33
123 444 14
170 578 68
341 5 52
151 72 32
503 375 56
363 190 50
81 163 80
192 26 31
524 446 38
451 47 34
347 552 10
391 363 69
8 267 78
76 300 92
279 313 48
565 506 13
64 32 53
215 93 17
280 86 37
594 548 82
242 410 77
309 225 83
179 139 35
304 254 74
119 329 60
526 116 92
169 15 15
93 311 97
502 472 50
547 351 10
497 73 34
291 227 1
265 322 79
321 226 44
420 444 83
282 365 83
510 309 36
384 561 20
314 522 63
324 458 91
209 127 20
336 60 79
83 547 76
550 0 58
485 589 80
273 537 98
316 358 86
175 561 8
439 169 29
482 442 98
345 492 5
428 569 40
335 507 64
7 332 95
238 333 51
349 576 21
66 71 97
455 306 71
45 449 52
531 55 59
110 253 22
419 248 18
249 295 56
289 410 13
461 507 6
441 360 45
518 166 27
318 287 50
228 206 28
589 482 76
57 244 2
145 375 54
143 573 1
216 479 45
190 313 7
554 102 70
331 542 49
362 584 72
539 130 89
228 266 65
495 460 89
47 428 8
481 71 29
161 567 72
157 56 56
245 8 5
526 17 65
531 289 51
29 573 81
231 340 3
26 471 39
448 125 36
450 244 13
570 516 56
397 394 44
389 434 55
192 569 37
540 123 34
357 170 85
454 121 19
202 455 66
410 229 88
386 297 71
244 558 5
59 136 68
473 31 23
532 470 32
593 108 23
466 586 46
572 115 27
425 583 98
31 95 43
436 433 20
7 372 78
390 482 80
152 385 98
270 576 43
141 70 85
347 546 73
341 586 94
236 476 86
427 393 62
408 412 94
91 478 52
366 58 63
305 1 82
186 364 44
354 48 17
379 505 3
309 212 7
595 202 12
23 204 54
372 288 44
434 29 35
506 87 69
86 197 39
384 415 94
11 244 21
120 536 73
383 341 43
127 386 54
153 462 40
397 457 63
76 135 28
97 88 83
382 374 49
340 46 78
358 208 52
322 340 99
226 271 96
474 33 13
132 83 70
26 517 8
413 463 40
456 269 12
202 427 88
447 143 53
102 172 78
596 566 41
129 191 57
69 320 80
57 78 79
54 224 12
390 290 81
486 490 89
567 103 4
503 263 44
446 325 25
462 308 93
530 401 16
107 257 69
264 226 85
138 218 87
201 420 28
271 494 1
250 557 34
361 393 31
222 270 91
478 211 96
32 452 20
435 339 39
43 202 11
128 117 52
13 332 98
432 420 69
98 447 20
50 508 12
462 93 44
24 245 76
424 48 27
396 525 61
64 136 82
45 115 76
139 50 39
163 143 27
55 401 14
232 235 44
176 68 12
435 326 74
59 111 23
382 354 2
311 9 1
325 10 90
245 576 36
440 281 72
221 21 24
219 556 80
341 322 41
293 295 23
294 120 64
350 557 23
160 422 69
401 422 17
397 277 7
407 569 34
406 166 99
413 311 100
341 461 11
233 424 62
194 359 28
301 305 25
260 74 35
374 44 97
282 2 97
576 329 80
451 567 51
501 381 13
44 511 89
526 530 59
54 426 76
368 74 81
100 241 79
436 588 81
303 207 26
543 199 48
315 173 97
112 108 59
417 91 32
122 502 15
484 56 8
50 51 3
526 490 42
543 3 5
463 228 58
92 167 97
546 50 31
383 296 66
533 437 66
473 328 17
247 519 79
443 517 44
270 179 92
557 36 80
174 443 72
222 195 30
348 162 1
277 129 50
186 482 33
259 293 98
120 561 53
378 181 79
272 465 14
13 346 76
389 111 48
37 324 24
397 594 56
504 326 53
556 221 68
204 568 33
217 480 21
382 19 99
455 72 23
422 289 27
342 252 41
261 250 33
324 338 65
68 456 76
492 92 51
275 573 69
357 558 55
295 246 77
568 457 18
329 358 30
153 587 43
126 55 38
274 197 97
456 367 98
382 181 11
36 573 37
520 223 77
505 540 43
241 172 74
216 54 60
38 451 93
413 226 84
438 218 25
83 69 97
224 218 39
140 12 73
306 131 87
83 482 78
273 12 94
313 377 41
442 511 32
216 317 67
47 389 21
415 224 58
80 285 66
495 129 15
403 257 3
175 324 23
221 537 53
362 263 82
463 7 29
159 524 42
508 513 29
267 574 97
416 22 93
200 437 88
343 72 60
417 216 50
349 211 7
256 484 85
441 483 56
337 513 98
7 109 70
259 254 21
23 510 66
251 82 94
61 489 50
252 207 3
556 112 81
519 10 35
178 544 51
351 160 72
77 582 54
298 163 25
338 546 67
6 88 99
88 194 10
446 11 83
233 585 27
344 402 96
396 24 91
587 313 64
81 185 41
177 383 35
217 62 12
345 560 8
322 372 16
578 109 66
515 197 84
151 215 9
78 41 21
557 461 3
548 460 32
516 402 51
29 44 95
336 136 48
470 104 7
563 197 52
119 107 94
399 92 27
276 345 49
530 180 88
102 154 96
433 111 98
496 372 13
486 284 13
371 257 36
281 79 68
20 518 18
47 266 56
558 539 100
346 265 90
518 280 13
179 125 29
457 319 4
471 490 80
99 207 59
480 545 72
549 219 84
189 506 49
224 155 57
446 163 30
181 174 80
291 66 94
507 57 76
36 291 61
571 198 56
431 132 62
372 562 92
177 504 87
79 391 51
347 416 91
356 69 95
419 159 88
339 591 51
154 377 90
265 303 54
526 494 66
34 290 12
552 433 52
474 284 10
530 287 43
509 385 39
382 125 40
342 478 4
289 39 62
109 291 39
59 378 14
373 396 63
461 221 27
169 162 44
374 274 97
230 204 38
388 73 11
435 126 49
190 440 13
200 25 21
441 79 11
487 137 45
544 298 9
69 472 30
302 14 67
352 248 33
48 593 54
17 300 33
62 2 48
299 107 37
146 247 79
133 561 46
166 561 98
434 94 9
572 14 14
528 422 24
398 419 55
67 68 70
434 126 84
59 161 21
93 60 66
164 226 7
396 482 19
169 553 78
145 206 9
268 134 16
140 178 42
47 588 44
116 361 78
475 92 56
144 356 82
547 123 2
580 119 96
61 156 37
110 104 81
592 87 77
501 362 6
406 195 47
460 580 8
201 131 33
189 562 61
364 212 15
591 270 29
521 245 9
500 63 51
259 367 74
202 126 89
474 388 3
167 386 40
402 146 77
522 97 24
545 301 87
122 323 69
569 304 99
30 93 72
241 579 22
488 572 24
322 591 94
500 595 8
136 467 77
370 363 58
424 476 21
326 48 72
228 568 55
532 25 30
497 114 58
505 209 25
371 18 33
192 586 97
150 456 36
287 112 18
285 239 84
551 85 26
105 351 78
290 280 7
396 35 77
148 55 6
484 290 72
413 285 9
177 35 14
558 168 80
252 87 85
133 293 30
508 391 42
501 436 8
402 48 99
577 120 85
590 207 88
45 51 97
427 584 78
471 545 8
296 30 10
442 153 56
125 307 98
303 533 89
332 377 18
339 75 23
262 540 41
155 463 33
222 223 8
221 436 84
382 347 88
113 332 12
325 389 45
208 62 51
595 126 12
144 300 93
326 21 85
270 172 78
259 47 46
121 350 54
355 455 46
364 58 17
478 203 88
137 386 49
131 107 31
35 234 64
310 227 25
510 33 68
355 64 2
156 229 74
93 582 55
391 255 22
143 233 88
382 187 36
424 198 45
345 416 62
138 57 75
144 595 41
232 453 76
214 234 100
3 122 91
217 110 3
52 280 51
206 584 56
310 78 88
92 46 55
387 455 94
2 196 19
17 215 36
142 9 23
328 205 29
36 103 73
45 8 84
447 4 65
545 15 39
383 295 94
319 90 90
531 22 7
500 262 35
515 547 70
135 287 12
525 484 20
56 34 12
536 529 75
171 568 78
49 540 15
257 29 47
322 397 53
472 248 19
73 44 29
558 496 75
226 599 2
91 26 79
14 236 54
53 125 46
576 284 16
262 35 24
437 349 49
16 569 30
236 376 20
337 488 5
257 23 56
36 398 51
234 84 42
323 107 100
89 319 34
463 580 42
376 515 46
33 150 33
183 345 79
433 444 93
545 534 92
148 360 75
585 209 38
444 228 58
117 229 1
530 463 91
45 129 9
290 253 82
431 483 53
464 585 19
101 245 1
384 142 80
445 167 21
308 73 24
500 289 13
348 520 45
487 387 10
596 141 29
1 333 31
118 588 54
161 594 60
470 451 59
404 458 58
448 316 31
9 254 26
118 75 63
180 465 10
50 11 68
488 98 90
341 595 10
35 218 95
216 290 69
56 300 50
148 528 21
484 325 24
560 589 84
11 567 96
584 300 57
61 327 50
49 412 40
494 238 28
535 494 23
194 190 12
326 500 100
304 289 13
295 548 40
267 171 47
415 521 56
311 562 22
465 80 14
209 293 22
579 7 5
395 394 38
421 527 69
207 321 7
527 521 91
99 216 30
537 223 75
393 15 55
462 168 11
506 237 100
434 372 63
514 592 15
119 374 94
101 479 19
62 354 7
429 235 27
111 216 92
67 162 29
319 164 80
281 347 23
467 140 25
206 253 38
131 346 19
322 589 5
501 579 39
285 407 22
511 156 80
325 106 71
56 530 73
565 461 78
128 428 77
192 127 64
121 81 31
41 104 10
280 275 94
293 174 92
512 138 76
351 23 59
592 277 28
227 462 10
105 373 27
394 136 72
285 93 95
464 58 96
589 51 49
346 124 30
192 133 74
257 64 40
233 368 33
508 557 39
240 22 65
69 152 36
564 429 66
500 442 78
183 528 10
160 168 82
573 7 59
484 334 44
537 211 29
278 561 39
161 365 35
490 245 100
580 138 24
83 398 89
384 585 80
547 581 97
192 161 39
437 504 19
305 495 96
245 333 74
491 376 83
496 367 58
314 96 55
513 454 1
427 553 47
57 502 56
275 112 93
72 313 99
455 18 81
188 71 37
484 421 74
213 376 86
309 369 33
307 249 8
312 192 79
88 72 30
220 433 47
276 382 61
39 117 80
59 60 3
535 542 78
393 80 33
362 421 92
460 226 9
195 589 96
123 463 19
394 171 35
309 93 36
472 26 75
24 431 64
549 261 93
83 273 24
459 364 26
243 478 24
437 513 47
403 493 70
414 251 60
535 382 54
261 93 61
271 188 23
591 426 88
264 40 7
567 272 30
100 595 96
34 474 63
263 113 80
470 101 95
374 98 32
331 115 80
275 89 98
579 3 36
430 374 1
167 121 53
79 184 78
120 387 26
339 428 61
480 508 5
410 272 35
509 301 13
232 439 65
78 82 87
114 300 61
330 207 82
425 412 23
142 219 46
1 594 5
438 253 43
87 151 97
513 101 32
104 162 96
411 80 20
509 489 97
209 524 77
267 572 49
317 251 62
16 485 23
212 573 7
278 293 13
493 192 5
403 259 59
392 199 76
173 567 11
287 598 29
223 431 51
395 402 58
2 281 48
582 103 16
95 345 92
449 22 19
0 133 28
0 138 16
586 519 43
575 93 84
334 550 90
347 499 34
489 243 80
222 581 76
266 505 9
197 249 85
540 378 61
411 403 95
355 196 74
489 503 85
263 267 48
204 17 68
342 106 51
526 88 7
586 54 72
411 157 60
424 502 76
472 302 66
46 301 85
422 142 82
68 585 94
318 108 5
201 264 65
503 367 100
390 476 97
409 121 43
107 598 12
52 573 30
91 426 34
301 537 35
262 550 98
39 190 10
563 144 53
311 380 32
418 585 41
43 81 50
179 410 63
582 210 29
72 529 34
262 75 94
334 273 10
347 57 75
289 9 64
291 11 52
18 312 96
364 407 50
410 28 18
384 288 3
163 111 46
517 458 35
267 222 40
388 33 27
449 34 89
443 136 29
68 465 34
539 514 45
569 308 10
595 46 72
307 252 65
212 527 45
550 70 73
369 117 13
386 277 22
404 413 61
358 393 4
31 171 91
426 83 10
135 296 54
297 516 95
302 137 59
436 549 71
21 399 22
416 488 45
496 518 56
502 464 47
401 428 16
487 250 53
2 19 36
505 224 97
172 180 21
430 533 52
110 207 99
175 485 39
210 198 46
260 569 84
60 31 54
448 366 88
388 482 10
406 57 94
476 336 24
421 252 69
437 519 19
382 351 11
229 484 45
172 170 65
44 328 86
240 299 35
14 455 67
343 385 33
517 316 21
299 145 6
288 356 87
110 370 2
282 378 100
23 595 40
464 217 40
505 378 10
412 242 70
110 162 45
524 190 27
406 490 25
222 496 29
553 86 23
407 93 53
549 119 54
586 356 93
404 569 59
15 482 26
183 361 58
104 292 67
436 161 8
247 431 2
336 210 92
554 246 4
126 130 25
313 45 61
332 432 63
573 396 85
516 177 38
309 109 11
73 553 62
345 391 84
417 447 99
245 548 16
475 583 57
589 115 44
519 272 76
456 306 84
349 271 73
67 479 40
138 486 60
81 525 77
368 174 45
297 488 85
399 206 8
554 403 65
169 592 32
46 493 9
559 240 90
317 239 44
70 374 83
25 255 28
369 450 24
256 74 11
590 169 1
32 317 80
12 120 67
33 562 77
336 58 19
323 55 48
247 67 73
49 534 45
87 301 71
444 225 48
462 116 3
539 404 30
190 502 100
448 163 48
511 81 89
175 475 30
19 438 75
319 297 20
237 289 88
486 405 40
104 341 74
562 428 64
161 270 4
395 599 70
461 372 53
286 180 7
527 561 60
76 571 4
49 301 61
150 572 78
328 63 35
366 335 55
355 58 5
134 411 54
526 371 37
318 45 27
153 501 24
9 574 35
106 331 46
106 77 22
403 29 64
528 472 41
525 474 20
227 356 65
495 416 40
449 467 29
67 191 93
269 341 77
390 1 51
133 571 66
462 314 35
43 554 74
450 246 24
477 399 18
40 241 34
540 293 48
491 230 71
187 237 5
578 347 35
66 366 88
51 321 88
51 357 35
82 447 45
211 126 28
59 313 25
79 389 70
58 141 13
565 5 100
309 123 86
41 396 79
408 428 64
311 444 37
313 263 69
208 22 49
354 463 7
359 472 21
365 94 77
107 412 79
44 469 57
127 283 100
39 290 58
75 69 20
59 339 26
68 35 53
312 265 10
80 91 30
44 399 31
45 54 65
351 556 46
109 583 48
17 579 57
311 128 5
536 98 60
531 312 82
568 546 77
229 23 75
417 149 62
64 374 83
579 309 38
456 36 57
398 66 17
74 510 18
377 307 75
599 231 34
506 69 89
49 248 51
78 60 62
298 138 66
492 182 49
454 589 30
250 580 19
295 356 77
592 589 23
433 426 71
208 570 28
54 132 71
402 58 50
259 411 100
244 447 98
20 165 8
167 61 33
252 26 5
202 324 87
494 230 49
55 386 14
248 1 3
339 232 51
178 45 91
333 243 18
457 33 77
233 104 4
292 469 25
386 337 18
255 2 2
379 327 79
223 214 30
282 31 12
498 161 56
286 208 31
67 326 60
310 456 55
571 399 46
327 28 69
465 37 95
256 14 61
458 199 12
426 446 32
440 416 75
153 168 97
93 362 99
482 32 42
188 313 41
358 100 59
371 453 19
416 219 12
227 100 51
560 51 75
348 538 44
381 170 43
561 489 2
533 478 48
423 139 29
381 532 29
594 135 59
15 419 7
117 37 51
446 492 20
512 4 68
177 326 56
216 137 58
299 176 96
269 308 60
227 590 54
561 376 55
560 93 50
307 117 83
148 550 8
62 152 36
189 257 44
402 522 40
33 565 24
235 311 4
586 565 20
287 49 96
458 44 92
347 215 5
274 463 7
349 158 36
29 242 24
544 228 33
466 419 7
424 573 22
87 117 53
584 251 68
170 504 8
284 453 64
398 560 30
306 582 80
588 380 21
488 126 21
280 567 22
52 391 17
558 256 49
397 63 2
79 125 85
558 59 60
327 359 29
546 102 56
103 144 47
555 161 61
483 368 45
310 529 81
436 146 94
475 37 2
12 413 88
391 23 57
109 376 48
62 38 18
236 55 5
102 145 5
14 337 45
233 86 32
245 316 94
427 194 79
378 563 78
557 275 77
427 199 96
23 271 84
138 332 70
46 361 4
518 446 38
511 164 5
263 498 71
330 446 27
513 592 93
215 271 55
329 323 86
152 296 65
563 168 62
597 176 50
122 397 88
95 67 2
394 488 84
207 280 56
205 462 9
150 363 93
50 482 37
263 127 64
90 118 51
517 441 4
569 579 14
123 88 67
184 418 41
513 561 32
150 44 22
135 59 88
545 110 94
75 374 57
370 243 23
135 17 32
541 436 90
294 371 23
112 362 16
271 22 23
454 407 55
28 187 81
464 281 38
506 352 65
425 555 28
568 215 53
529 33 44
62 228 37
493 378 94
292 200 71
485 347 17
2 289 1
357 315 55
39 446 20
435 473 31
4 464 14
432 282 6
522 146 54
282 176 20
91 372 29
220 488 81
73 214 47
296 514 57
498 167 87
157 90 27
456 41 17
385 250 52
52 354 63
245 4 34
444 534 92
179 233 9
438 72 13
572 499 38
293 250 36
310 410 70
40 516 24
381 482 83
365 186 93
446 463 67
274 458 80
459 34 6
499 429 98
152 85 27
444 60 62
51 149 43
203 185 2
7 113 22
65 206 10
401 480 45
130 153 17
164 188 66
54 13 34
323 133 73
193 242 42
166 483 33
463 248 86
119 489 63
436 199 62
342 421 81
79 255 50
148 517 36
38 125 98
156 513 2
302 299 18
30 509 21
118 28 16
24 501 1
505 389 17
398 258 69
534 251 67
257 350 51
438 276 61
100 252 56
31 218 81
223 503 45
197 289 67
582 181 5
44 585 100
220 319 46
135 383 36
226 328 45
429 83 83
69 563 34
317 429 30
313 545 23
317 270 41
103 466 6
513 412 26
140 291 76
466 454 3
559 522 73
145 180 100
335 23 25
278 90 75
203 108 15
196 30 41
404 313 99
379 474 74
154 432 83
297 175 15
545 79 6
392 351 76
373 139 63
405 545 75
172 377 48
281 484 27
197 196 54
318 284 48
285 164 67
7 429 60
585 588 74
123 53 54
100 368 47
360 350 40
42 136 31
413 322 10
126 149 19
597 261 17
304 508 7
378 25 79
371 506 91
261 162 60
212 235 84
406 213 3
595 348 55
383 165 61
100 50 76
342 211 91
509 491 55
491 497 34
189 417 83
115 208 78
275 173 31
127 117 69
231 362 74
538 237 57
488 500 12
5 107 13
536 131 15
339 164 49
296 468 60
113 233 36
125 59 98
258 581 94
456 378 74
258 546 58
276 22 72
113 501 50
137 21 47
371 596 48
446 6 95
419 393 68
179 236 63
97 553 55
427 576 73
149 38 30
210 520 58
535 305 87
396 272 37
412 448 2
288 346 27
217 416 40
155 529 11
1 151 43
107 187 97
465 63 43
139 546 18
406 302 52
60 511 4
561 219 27
159 10 58
581 479 3
557 222 25
198 221 71
359 494 97
578 307 14
254 136 81
100 390 34
185 462 15
241 185 15
220 436 96
464 439 32
195 536 14
140 146 44
3 457 61
49 118 71
331 422 83
594 29 19
203 51 80
387 530 57
492 540 66
591 178 89
85 482 95
45 550 12
460 331 7
252 492 32
463 2 21
384 101 27
504 500 14
334 29 75
38 534 25
317 542 31
165 227 14
15 459 16
387 366 9
266 564 76
269 486 26
242 528 41
447 412 99
392 17 43
72 138 20
160 559 54
414 405 67
555 597 23
20 362 38
3 257 47
16 443 79
151 575 73
11 546 18
107 166 27
105 556 49
435 280 31
594 142 34
272 215 88
77 65 71
131 295 43
427 497 51
384 405 19
265 83 42
30 147 96
154 182 39
66 344 87
338 487 38
101 596 73
136 203 7
75 239 88
319 58 46
585 591 65
578 322 66
398 307 52
562 173 61
150 21 75
